Rank,Name,Lex,Con,List
11 ,都重生了谁谈恋爱啊,错哪儿了|都市·都市生活|连载, 奋斗到三十八岁买不起房，要结婚得先付三十万彩礼，省吃俭用大半生，卷到肝都碎了，可是钱呢？钱到底被谁赚走了？怀带着无数怨气的江勤重生十八岁，睁开眼的唯一念头就是创业搞钱。第一步，先把送出去的情书抢回来，翻个面，在校花惊愕的眼神中写下三行字：现在打工是不可能打工的！只想财富自由，永不为奴！至于恋爱？那玩意儿狗都不谈！ ,最新更新 第728章 那是我曾逝去的青春·2024-05-16 11:38
12 ,谁让他修仙的！,最白的乌鸦|仙侠·古典仙侠|连载, “我反复强调，修仙界的风气本来就是歪的，不是我带歪的，都说史书是胜利者书写的，那为什么我获胜了还总是有人诬陷我？”陆阳剑仙面对记者采访如此说道，表示非常愤怒。第二天。“我反复强调，修仙界的风气是我带歪的，史书是胜利者书写的，我获胜了！”陆阳剑仙面对记者的采访时如此说道，表示非常愤怒。——《修仙日报》为您报道。 ,最新更新 第八百四十章 跳的不行·2024-05-15 23:52
13 ,玄鉴仙族,季越人|仙侠·修真文明|连载, 陆江仙熬夜猝死，残魂却附在了一面满是裂痕的青灰色铜镜上，飘落到了浩瀚无垠的修仙世界。凶险难测的大黎山，眉尺河旁小小的村落，一个小家族拾到了这枚镜子，于是传仙道授仙法，开启波澜壮阔的新时代。(家族修仙，不圣母，种田，无系统，群像文) ,最新更新 第七百九十一章 大神通·2024-05-15 21:28
14 ,道爷要飞升,裴屠狗|玄幻·东方玄幻|连载, “弟子黎渊，拜求苍天授箓！”…………已有完本作品《诸界第一因》、《诸天投影》《大道纪》 ,最新更新 第9章 天崩地裂·2024-05-15 23:43
15 ,黄昏分界,黑山老鬼|科幻·进化变异|连载, 黄昏为界，阴阳二分。当邪神的血肉从大地的裂隙里拥挤了出来，当山脉一样的血肉出现在了各个地方。有人恐惧，有人膜拜，有人烧香上供。也有人尝了尝，咦，味道不错？于是，血肉变成了庄稼，人们贪婪的收割，争夺，走鬼问灵拜祖宗。胡麻自恐惧之中转生而来，食太岁，养火炉，历尽艰辛，与遍地的邪祟争命求活，然后…………什么？我才是邪祟？ ,最新更新 第五百二十二章 不食牛令·2024-05-16 11:30
16 ,重回1982小渔村,米饭的米|都市·都市生活|连载, 【这是一个海边人上山下海的日常小说！没有装逼打脸，只有上山下海的悠闲！年代文，日常，赶海，种田，养娃，家长里短，不喜勿入，勿喷！】叶耀东只是睡不着觉，想着去甲板上吹吹风，尿个尿，没想到掉海里回到了1982年。还是那个熟悉的小渔村，只是他已经不是年轻时候的他了。混账了半辈子，这回他想好好来过的，只是怎么一个个都不相信呢……上辈子没出息，这辈子他也没什么大理想大志向，只想挽回遗憾，跟老婆好好过日子，一家子平安喜乐就好。【说明一下，改笔名了，原来是叫“一杯冰柠檬水”，现在改为“米饭的米”】 ,最新更新 第1109章 平安无事（盟主零六零七零四加更二）·2024-05-16 00:45
17 ,深海余烬,远瞳|科幻·未来世界|完本, 在那一天，浓雾封锁了一切。在那一天，他成为了一艘幽灵船的船长。在那一天，他跨过浓雾，直面了一个被彻底颠覆而又支离破碎的世界——昔日的秩序已经荡然无存，奇诡的异象主宰着文明社会之外的无尽海域，孤岛城邦与挑战大海的船队已然成为文明世界仅存的灯火，而旧日的阴影却仍在幽邃深海中蠢蠢欲动，等待继续吞噬这个将亡未亡的世界。但对于失乡号的新船长而言，只有一个问题是他首先要考虑的——谁知道船咋开啊？！ ,最新更新 完本感言·2024-05-02 11:15
18 ,请天下赴死,阎ZK|玄幻·东方玄幻|连载, 天下已纷乱三百余年。中原歌舞不绝，异族厉兵秣马，江湖剑仙纵横，名将镇压十方。距离天下大乱还有五年，年少的药师李观一雨夜杀人。终于睁开眼睛，看到这人间乱世。马蹄之下累累白骨，名将，美人，江湖，神兵，百姓，法相。古来唯见白骨黄沙田！儒生，铁蹄踏碎；佛陀，长枪扫平！贫道李观一，请这座天下赴死！ ,最新更新 第81章 龙虎功体·2024-05-16 15:23
19 ,炮火弧线,康斯坦丁伯爵|历史·架空历史|连载, 王忠来到了异世界，卷入了这个世界的世界大战。他得到的外挂是个即时战略一样的俯瞰视角，还能看到麾下部队的视野！于是他果断开始微操：“机枪阵地左移五厘米！反坦克炮放在右边的树林里！”就这样三年过去了，王忠看看手里的元帅权杖，再看看皇帝钦差背后的双头鹰旗。“在我的故乡有句老话，‘王侯将相宁有种乎’，钦差大人，你可知道啊？” ,最新更新 第8章 空袭·2024-05-16 15:09
20 ,不是吧君子也防,阳小戎|轻小说·原生幻想|连载, 第一年，大乾公主初遇‘君子’，那人正气凛然主持公道，她冷笑：“伪君子。”第二年，皇嗣之争，一步之差满盘皆输，闭目求死，那人唯一出列，身家性命护其回京，她轻嗤：“还算君子。”第五年，政变登基，女帝临朝，赐那人高官厚禄贵女美人，皆拒，她微微皱眉：“的确君子。”第十年，清晨醒来，浑身酸疼，她咬牙大骂枕边的人：“枉为君子！”…………“三样东西可以让帝国重新伟大：剑，微臣和儒释道。”他对女帝如是说。—————【本文男频！非女频】【轻松幽默、庙堂江湖、慢热细腻、多感情线】【已写出一本二百四十万字、高订四万余的大精品仙侠文《我有一个剑仙娘子》，量大管饱，口碑保证，书荒的好兄弟们可以去康康~点进作者主页即可阅读！】 ,最新更新 二百五十三、女君鱼念渊，浔阳咏菊会（求月票！）·2024-05-15 23:59
21 ,周朝侯爵家族史书实录,花非花月夜|历史·架空历史|连载, 姬昭一朝穿越，却发现自己身处三千年前的周王朝，他的兄长武王姬发刚刚推翻商朝的统治，重病垂死，他被册封为侯爵，辅佐幼主，望着年仅八岁的天子以及八百姬姜诸侯，姬昭意气风发，筚路蓝缕，以启山林，让我来开启伟大诸夏的新时代吧！——“三千年前，生前他们叫我假天子，代行天子事，死后他们叫我素王，说我是有王的德行却不居于王位的圣人。两千五百年前，他们说我是昊天的侍者。两千年前，他们说我就是昊天，昊天就是我。一千五百年前，苍天和素王上皇天不分轩轾。而现在，昊天湮灭，苍天不存，世人皆颂至高至圣、至尊至贵，素王上皇天。你要问我有什么想法，我只能说，这都是我子孙后代的功劳，捧老祖宗，他们是认真的。”“据说在家族传承过程中，您给予了他们很大的帮助？”“只有一点小小的帮助。”祖宗保佑：使家族成员在幼年时期不会夭折，且天赋有最低保底。神器桃花源：在遇难时可以逃入异空间短暂避难神器五雷轰顶：召唤一道雷霆，专杀奸臣昏君（已劈死司马懿）神器……“一点点帮助。” ,最新更新 生病休息·2024-05-15 22:25
22 ,这个影帝只想考证,江公子阿宝|都市·娱乐明星|连载, 觉醒吸属性系统，化身娱乐圈吸属性狂魔，一定概率从别人身上吸取属性。但是吸来的属性必须存放在对应的证书里，郝运不得不踏上疯狂的考证之路。不是在考证，就是在考证的路上！记者：听说你获取了一百多个证，是娱乐圈证书最多的明星。影帝：没有没有，才九十多张。记者：那你觉得这些证书里头含金量最高的是哪个。影帝：我找一下啊……咦，不好意思，拿错了。记者：雾草，精神病证书！？ ,最新更新 第0808章 多产如母猪（求月票）·2024-05-15 23:19
